Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.9248408005458266,0.8338271937548917,0.7743879472693033,0.8028120200821366,0.9054284459117042,0.848869784478981,0.13747127200887813,0.0941518440984039,232.4796237150828
XGBoost,0.9231611515427186,0.8302817662368357,0.7680449098564179,0.7979226159414458,0.9065977757126227,0.8555883773971996,0.03206438363979694,0.06477881784700017,7.108500242233276
GRU,0.9344979531498749,0.8444604106101178,0.8196984418295008,0.8317235414323353,0.9393333005257931,0.8935049040661914,0.021132677358324314,0.05348769507103183,136.98412696520487
GAT,0.9433899059965127,0.9351296528707332,0.7665910971967325,0.8424947339030372,0.9157609589253374,0.8763194503786119,0.0190274301345819,0.05096004610019662,143.4415239493052
RAVEN-X,0.9499881548025169,0.9166915637325158,0.8217232238175777,0.8665415451846155,0.94477746548894,0.9132423308801814,0.033990144725907605,0.051639116231169006,291.4632915655772
RAVEN-X-GF,0.9519734099006899,0.910546297309021,0.8394160759053343,0.8734980470203846,0.9444528467419856,0.9173502971116033,0.037630376342407824,0.0467807335550914,305.2448687553406
