Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.0032137905731407304,0.021257823605374537,0.0099412411651018,0.004693211037352768,0.00026855360013172046,0.0003663138104263736,0.0004951536829477417,0.0005099502873372595,3.4767202122550596
XGBoost,0.0017700031871920904,0.009741415884806526,0.0024005512952350924,0.003240618074811158,0.0003489871352372695,0.0010200200085402822,0.000686548940971349,0.0006834016508366656,0.5831110303160562
GRU,0.0008836832341892684,0.014138178119689145,0.015284799408351412,0.0018012088639341869,0.002007930812163551,0.004521835222467043,0.010080218389466699,0.0026378399269960983,20.789476953532674
GAT,0.0006678533693954263,0.006797497564470966,0.0038294821608258174,0.0013777703278350262,0.001467904690812628,0.0013930122407287244,0.002054800033841783,0.0003731735599810321,8.925328383873197
RAVEN-X,0.0033176024035693912,0.018672071065735707,0.0021309390162018113,0.007491746893280199,0.001841231172045213,0.003555740312897532,0.011584248735569392,0.006395640964495195,59.29788330977863
RAVEN-X-GF,0.0026203437298017414,0.012529139509795456,0.005827611216150586,0.006300790515938337,0.0009537233034462783,0.0022432849764219115,0.014706748119739993,0.00654765381759048,74.76954653696438
