decision,count,share,attack_rate_in_bucket,share_of_all_attacks,share_of_all_benign
TRUST,399453,0.5677919604275643,0.024511018818233934,0.07046673144049805,0.6901864234158438
VERIFY,186528,0.2651353195360473,0.09547628238119746,0.12817301810068732,0.2988424921401054
REJECT,117539,0.16707272003638846,0.9473025974357447,0.8013602504588146,0.010971084444050835
