Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.8956822341218735,0.9958858318333762,0.45704507906537645,0.6265469546226644,0.7380941251427201,0.6370226666973096,0.05545549467740037,0.10069461047300916,15.317111730575562
XGBoost,0.8958516911814546,0.9988382599716019,0.45657304696719375,0.6266855638793278,0.7454176150151188,0.639225412622537,0.03231726849109972,0.09602615784054135,0.42449402809143066
GRU,0.8958516911814546,0.9971696899523993,0.4573400991267406,0.627078192629748,0.7441593315756398,0.6447122565133274,0.013289499358994136,0.09272542451847295,18.954301834106445
GAT,0.8955918570234302,0.9997405966277562,0.45480292659900873,0.6251926352502231,0.7525735015874611,0.6470346651030641,0.027917803856723798,0.09378993214420955,12.205255508422852
RAVEN-X,0.8947445717255248,0.9960993368872708,0.4520297380221855,0.6218596533950241,0.7663736142301354,0.6555112730508057,0.01480966006895543,0.09375584235025641,37.36101055145264
