decision,count,share,attack_rate_in_bucket,share_of_all_attacks,share_of_all_benign
TRUST,32541,0.735240290110486,0.04422113641252574,0.16521239954075775,0.874905060620552
VERIFY,5489,0.12401997333875596,0.21770814355984697,0.13719862227324914,0.1207910208444682
REJECT,6229,0.14073973655075803,0.9754374698988602,0.6975889781859931,0.004303918534979887
