Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.9333092327737486,0.9739327126179168,0.6793340987370838,0.8003749787135148,0.8673719576188651,0.8187871201287544,0.03171111105094326,0.062264151414322844,7.825336058934529
XGBoost,0.9333845470224512,0.9759790755562161,0.6782242632988901,0.8002890018430446,0.8696990507122454,0.8207729646081288,0.026714254720877007,0.06123082495735255,0.29727355639139813
GRU,0.9570558153897135,0.9916797634909668,0.7884041331802525,0.8784342873505985,0.9115467434184756,0.8827488349791804,0.03379773965208706,0.04110900951350685,11.445794264475504
GAT,0.9267945502609639,0.9537162084776306,0.6600459242250287,0.780159929456353,0.8440528538752433,0.7961813116704001,0.023356231038424217,0.06550246761410973,4.628843069076538
RAVEN-X,0.9540884339908268,0.9812719163928687,0.7817451205510908,0.8701457000206014,0.910329472306445,0.8803062995692722,0.018820526721502157,0.04331193931898394,15.456011136372885
