Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.0009490491892388112,0.0077838932674716985,0.0008036739380023235,0.0020807022196499885,0.0008702920109658193,0.00042198862312797786,0.000451147738385466,0.00010966208537849125,0.12165070638376718
XGBoost,0.0003067611386673793,0.006178997806621265,0.003003417398887663,0.00027176541578248395,0.002135112576039954,0.001474885708471249,0.0004985225362310976,0.0003500674306503818,0.01475876340154242
GRU,0.0011819059073879046,0.004826148508064024,0.0024055484316598207,0.0032442279835341544,0.002061751052591976,0.0007849796146281318,0.000694963414171429,0.000773845487808389,4.132380927825372
GAT,0.0005294007778693218,0.001902582199146838,0.0015446181454734633,0.0016253559666975785,0.0028503875763814194,0.001248214365476573,0.006607640714750145,0.0008961011802419861,0.8170667201060371
RAVEN-X,0.0015697737131595492,0.01096991112321419,0.010451545472280369,0.004868130985503994,0.0033586367067215744,0.004010258813359976,0.0049721863827794565,0.0015098977749040173,1.5989122885310942
