Model,T,ECE before,ECE after,Brier before,Brier after,NLL before,NLL after,F1 before,F1 after,Precision before,Precision after,Recall before,Recall after,PR-AUC before,PR-AUC after,ROC-AUC before,ROC-AUC after
RAVEN-X-GF [evidential],0.727 ± 0.019,0.0350 ± 0.0133,0.0257 ± 0.0136,0.0459 ± 0.0063,0.0460 ± 0.0063,0.1804 ± 0.0193,0.1811 ± 0.0200,0.8742 ± 0.0023,0.8743 ± 0.0025,0.9114 ± 0.0036,0.9115 ± 0.0043,0.8399 ± 0.0024,0.8400 ± 0.0023,0.9176 ± 0.0014,0.9176 ± 0.0014,0.9445 ± 0.0005,0.9445 ± 0.0005
RAVEN-X-GF [softmax],11.906 ± 2.939,0.0502 ± 0.0077,0.0489 ± 0.0221,0.0502 ± 0.0072,0.0473 ± 0.0076,0.6406 ± 0.0735,0.1921 ± 0.0284,0.8743 ± 0.0043,0.8743 ± 0.0043,0.9124 ± 0.0120,0.9124 ± 0.0120,0.8394 ± 0.0026,0.8394 ± 0.0026,0.9039 ± 0.0117,0.9178 ± 0.0018,0.9433 ± 0.0017,0.9446 ± 0.0007
