Model,Seed,T,ECE before,Brier before,NLL before,F1 before,Precision before,Recall before,PR-AUC before,ROC-AUC before,ECE after,Brier after,NLL after,F1 after,Precision after,Recall after,PR-AUC after,ROC-AUC after
RAVEN-X-GF [evidential],0,0.738694421150233,0.028981001415456814,0.04245065670995684,0.16936360514745266,0.8767880376298729,0.9151755663050455,0.8414912375400339,0.918898855298462,0.9448468560039919,0.019849947297464227,0.04243307290292153,0.16911799737278055,0.8771225547943664,0.916126554699562,0.8413041131382921,0.9188100869295635,0.9448058099182317
RAVEN-X-GF [softmax],0,9.271392798182285,0.045379908603802165,0.045902481556284985,0.5623270175579498,0.8789406217267836,0.9259752055580343,0.8364532728777574,0.9136790656628943,0.9448310881921925,0.04675113108717169,0.04474717110692936,0.18268873775780314,0.8789406217267836,0.9259752055580343,0.8364532728777574,0.9197688386576047,0.9453792824609808
RAVEN-X-GF [evidential],1,0.7373427540532275,0.0501621157418213,0.05318388704306046,0.20269437978196023,0.872570972061256,0.9110860472766578,0.8371801792076001,0.9160902364377264,0.9439424698861016,0.04119099784577371,0.05324843549650946,0.20418916445535845,0.8725604908269955,0.9109524145113423,0.837273741408471,0.9160885692882358,0.9439419749780431
RAVEN-X-GF [softmax],1,11.37077391259915,0.05906491887222246,0.058503260536822,0.7082094752587221,0.8705681428337038,0.9033019415447237,0.8401237899888445,0.8909266052523181,0.9415586203245625,0.0720110525769991,0.05593463746830803,0.22405445691958312,0.8705681428337038,0.9033019415447237,0.8401237899888445,0.9161448149912889,0.9440199915868627
RAVEN-X-GF [evidential],2,0.705935108267361,0.02575504515369477,0.04221424370611153,0.16928079779323285,0.8732712179741028,0.9079228456680313,0.8411673683831732,0.9178705232975206,0.9446698440667857,0.015982269758577944,0.042280988432263446,0.17000936701689792,0.8731900972128337,0.9075129252123151,0.8413688869696643,0.9178674029879204,0.9446689281433237
RAVEN-X-GF [softmax],2,15.076428103365368,0.0461321485721231,0.046296691534868775,0.6511806349693006,0.8734370098149061,0.9077951417192631,0.8415847997409047,0.907206508677356,0.9436114556287918,0.02800692984532867,0.041319029261355486,0.1695966728714989,0.8734370098149061,0.9077951417192631,0.8415847997409047,0.9175872403040078,0.9445337160632519
