Key,F1,Recall,PR-AUC,ECE,in-domain F1,ΔF1 (cross - in)
Urban → Highway / RandomForest,0.8146160765436131,0.8180109640103497,0.8572079340354668,0.06808061726683423,0.8659354448517255,-0.051319368308112345
Urban → Highway / XGBoost,0.8047806831590615,0.8202157400706986,0.8589354359225604,0.03493420431448918,0.865612927875023,-0.06083224471596149
Urban → Highway / GRU,0.7951840251070718,0.8382782443006409,0.862344870212678,0.04220573597440807,0.8867942086104497,-0.0916101835033779
Urban → Highway / GAT,0.725769969348942,0.8185263662062754,0.8619456678167182,0.059215070877161206,0.8787931004773146,-0.15302313112837262
Urban → Highway / RAVEN-X,0.8048116984418368,0.8359459192120073,0.8930994484898955,0.056241429283308414,0.907833302579415,-0.10302160413757822
Urban → Highway / RAVEN-X-GF,0.772698453834869,0.8692440247184811,0.8991859933721879,0.07499009778459857,0.9177139098398941,-0.14501545600502508
Low → High density / RandomForest,0.8123954880627688,0.7786037900506074,0.8583084204695434,0.18340838064256357,0.798681907115642,0.013713580947126824
Low → High density / XGBoost,0.8208019302254204,0.7851978419466522,0.8669143074714921,0.037433460795780284,0.7960117611580217,0.024790169067398615
Low → High density / GRU,0.7152770884596832,0.8374894482935801,0.7868443141352818,0.06284839729310356,0.8243023929191898,-0.10902530445950664
Low → High density / GAT,0.6022062166358342,0.8588783179254632,0.8424361831367294,0.21840832189592452,0.8417568023498124,-0.23955058571397825
Low → High density / RAVEN-X,0.6814463874247414,0.859885572605935,0.8377240199542044,0.14855479166565638,0.8672154549984825,-0.18576906757374112
Low → High density / RAVEN-X-GF,0.6676280850961016,0.9014603153889756,0.888384066311194,0.157093858769076,0.8714668131982372,-0.20383872810213555
highway_2 → highway_7 / XGBoost,0.8208019302254204,0.7851978419466522,0.8669143074714921,0.037433460795780284,0.7960117611580217,0.024790169067398615
highway_2 → highway_7 / RAVEN-X,0.6814463874247414,0.859885572605935,0.8377240199542044,0.14855479166565638,0.8672154549984825,-0.18576906757374112
highway_2 → highway_7 / RAVEN-X-GF,0.6162152006454251,0.9094979630618911,0.8684455961167039,0.21933572447855915,0.8820773253529216,-0.2658621247074965
highway_2 → urban_2 / XGBoost,0.8519964061511439,0.785772141106256,0.8860621366710035,0.013625143988071412,0.7960117611580217,0.05598464499312217
highway_2 → urban_2 / RAVEN-X,0.8891498612598047,0.8674304593413621,0.9334165255793682,0.030968327074099432,0.8672154549984825,0.021934406261322148
highway_2 → urban_2 / RAVEN-X-GF,0.9048018781461838,0.8759138868165832,0.9386737613130833,0.032430552147073265,0.8745126678276501,0.03028921031853371
highway_7 → highway_2 / XGBoost,0.8086774816878624,0.7770916549713915,0.8579110606007223,0.007192106218214282,0.8545756145766942,-0.04589813288883182
highway_7 → highway_2 / RAVEN-X,0.8474474298208285,0.831278563460362,0.904232549886661,0.0297896080862542,0.8386005435891576,0.008846886231670958
highway_7 → highway_2 / RAVEN-X-GF,0.872307016825796,0.843628773975314,0.9128340461346934,0.08078942708809034,0.8758400159884084,-0.0035329991626124047
highway_7 → urban_2 / XGBoost,0.8628230391797049,0.8143024618991793,0.8867732311262246,0.01707158897823868,0.8545756145766942,0.008247424603010756
highway_7 → urban_2 / RAVEN-X,0.8865251898330668,0.8669508685921347,0.9316090329756503,0.019876051736195804,0.8386005435891576,0.04792464624390924
highway_7 → urban_2 / RAVEN-X-GF,0.8994337479674576,0.8798571885324523,0.9359900497265251,0.06720950008884347,0.8826830549249484,0.0167506930425092
urban_2 → highway_2 / XGBoost,0.7750424538881353,0.7834178991687358,0.8394750801738828,0.03939356762174096,0.865612927875023,-0.09057047398688767
urban_2 → highway_2 / RAVEN-X,0.8402179683813119,0.8200870848177336,0.8868355590962692,0.034678340657675694,0.908590658712043,-0.06837269033073112
urban_2 → highway_2 / RAVEN-X-GF,0.8646064410419091,0.8317103890028429,0.9065138206170906,0.025787629978895422,0.9132135954367605,-0.048607154394851415
urban_2 → highway_7 / XGBoost,0.8214148454224125,0.8410658141023811,0.8695755715527735,0.032671990399710346,0.865612927875023,-0.044198082452610477
urban_2 → highway_7 / RAVEN-X,0.8064591865012163,0.8544578156030682,0.9052709350664865,0.04885658573737808,0.9151231517493479,-0.1086639652481316
urban_2 → highway_7 / RAVEN-X-GF,0.7773909298110228,0.8832237043320107,0.9117999801134081,0.0979527768187356,0.9192537963844486,-0.14186286657342584
