quintile,mean_uncertainty,error_rate,n
Q1,0.022750478,0.007242153741187173,140704
Q2,0.038125094,0.0251236638617239,140704
Q3,0.056432027,0.03133528542187855,140704
Q4,0.08931177,0.04714151694337048,140704
Q5,0.26398814,0.11425403684330225,140704
