Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.9018957054052006,0.767092231044046,0.7232406107932395,0.744418433791862,0.8683724218687138,0.8016808721384389,0.1915959199851011,0.1281248609543913,155.12694104512533
XGBoost,0.9119409066787961,0.8201170796278644,0.7099787685774946,0.7610480910920967,0.8700099556272204,0.8069302781851234,0.03894082426347901,0.07599229547902608,6.01730998357137
GRU,0.9077955613675991,0.7696040100505469,0.7618578094449843,0.7655930457777038,0.9015885456134819,0.8220904585797268,0.043539684760271584,0.07710098383573268,171.27649116516113
GAT,0.9339582859525434,0.9402314203879892,0.7110127508486572,0.8096474157279685,0.8829157593159711,0.8355107600651267,0.02696399784412315,0.06178068529386286,249.02396400769553
RAVEN-X,0.9343079561822455,0.8922640773462138,0.7609413796826082,0.8208858463846002,0.9123541305246791,0.869332773432725,0.052706019997231866,0.07141258939905792,422.0196324189504
