Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Brier,TrainTime_s
RandomForest,0.0005270978189060407,0.004003895748498571,0.002049798790309475,0.0007082260319710884,0.00010074753568230436,0.000327345688503906,0.0003590241933721102,0.00014828839831917677,1.4523675717344555
XGBoost,0.000391566326094257,0.010879300076513854,0.012959588095362113,0.002948039007445314,0.00023939946507236232,0.0002110924782079495,0.00215545977309124,0.00036658033050122044,0.6252485728288807
GRU,0.001684512626520131,0.006686668251704407,0.005082912202469508,0.00398658579003378,0.0010983032531803048,0.003176181591027943,0.0041536879059905,0.0006148325067229324,2.431131186995509
GAT,0.002143336006988864,0.011376896850310616,0.0012380114662440503,0.0052214564944224155,0.001345321307125004,0.00242766654574019,0.0011043096093888997,0.0013109817391873029,35.74822128640075
RAVEN-X,0.0005685534879488576,0.003698925938569383,0.0028793616900343517,0.0014693552993890187,0.0008845482268933859,0.0004894488119500021,0.004495687127941746,0.0024719664821419548,80.35575336196555
