decision,count,share,attack_rate_in_bucket,share_of_all_attacks,share_of_all_benign
TRUST,419966,0.5969496247441437,0.024649614492601783,0.07450430026269388,0.7255262808307134
VERIFY,166636,0.23686035933591085,0.09861614537074821,0.11826981899312677,0.26604614090244877
REJECT,116918,0.16619001591994542,0.9593048119194649,0.8072258807441793,0.008427578266837887
